lemma,frequency
ரயில்,9
இதனால்,9
நிலையம்,9
தொழிலாளர்,9
மாதம்,9
பெண்,9
தேர்தல்,9
சபை,9
மூன்று,9
அடுத்த,9
கைது,9
மாநாடு,9
தொடங்கு,9
திட்டம்,9
இதுகுறித்து,9
ஆய்வு,9
பணியாற்று,9
செயல்படு,9
ஆவது,9
கோடி,9
ஓ,9
தில்லி,9
படி,9
மணி,9
அணி,9
மருத்துவமனை,9
பணியாளர்,9
பதவி,9
பிரச்னை,8
ஐ.நா.,8
வாரியம்,8
ஆணையர்,8
துணை,8
மிக,8
வாரம்,8
போ,8
உறவு,8
நான்,8
மனைவி,8
எந்த,8
நட,8
ஒதுக்கு,8
குழு,8
சீர்திருத்தம்,8
எதிர்ப்பு,8
ஏற்படுத்து,8
அணை,8
"""",8
நியமி,8
உறுதி,8
செயலர்,8
அணுசக்தி,8
மேற்கொள்,8
பொறுப்பு,8
ஏற்கெனவே,8
போர்,8
10,7
நம்பு,7
சரி,7
அல்,7
பாதி,7
எனவே,7
புதன்கிழமை,7
புதிது,7
மாட்டு,7
சந்தி,7
கூட்டணி,7
கண்டி,7
கூட்டம்,7
பாஜக,7
புகார்,7
விபத்து,7
இதுவரை,7
ஏயே,7
முகாம்,7
செவ்வாய்க்கிழமை,7
அமல்படுத்து,7
செய்தி,7
தங்கம்,7
சிறப்பு,7
வாக்கெடுப்பு,7
வாக்கு,7
பல்வேறு,7
வட்டாரம்,7
வாய்ப்பு,7
சம்பவம்,7
வெடி,7
ஒருவர்,7
பிடி,6
வியாழக்கிழமை,6
12,6
வெல்,6
ஹென்றி,6
மாநகரம்,6
அழைப்பு,6
நிரந்தரம்,6
மோடி,6
அகதி,6
அப்போது,6
தகு,6
எமெலே,6
எடியூரப்பா,6
இதையடுத்து,6
பால்,6
அடை,6
மீனவர்,6
வெளியுறவு,6
கடல்,6
தி.மு.க.,6
அறிவு,6
பொருளாதாரம்,6
உடனடியாக,6
இப்போது,6
அதிகரி,6
தொகை,6
ஊதியம்,6
மேம்பாடு,6
மசோதா,6
தேசியம்,6
காலம்,6
அறிவி,6
விசாரி,6
அலுவலகம்,6
உள்துறை,6
ஆர்ப்பாட்டம்,6
ஆகியோர்,6
அடிப்படை,6
அழை,6
பொதுச்செயலர்,6
வைகோ,6
கோரிக்கை,6
மருத்துவம்,6
வெளியாகு,6
வேலை,6
போராடு,6
பொதுமக்கள்,6
ஜனவரி,6
கிடை,6
போட்டியிடு,6
மாலதி,6
விருது,6
மோசடி,6
மட்டும்,6
20,6
உயர்,5
தமிழ்,5
தரு,5
உருவாகு,5
விரோதம்,5
ஆப்கானிஸ்தான்,5
ஓய்வு,5
3,5
நிவாரணம்,5
கண்ணி,5
ஏற்பாடு,5
சமீபம்,5
ரூ,5
திருவொற்றியூர்,5
மாற்று,5
பிறகு,5
சதவீத,5
ஆட்சி,5
இடம்பெறு,5
தீவிரவாதம்,5
சிலை,5
வேலைநிறுத்தம்,5
கூட்டு,5
வசி,5
கூடுதல்,5
மூடு,5
மறு,5
படை,5
50,5
கிழக்கு,5
பத்திரிகை,5
இழப்பீடு,5
இந்தியர்,5
இறுதி,5
கொல்,5
ஜெர்மனி,5
கணவன்,5
நிர்வாகம்,5
பெரும்,5
உதவி,5
செய்தியாளர்,5
தற்கொலை,5
எண்ணிக்கை,5
எனினும்,5
இவ்வாறு,5
ஒட்டு,5
நிகழ்,5
நீதிமன்றம்,5
கட்டுப்பாடு,5
காமன்வெல்த்,5
கோவை,5
தோட்டம்,5
பார்,5
நிகழ்ச்சி,5
எதிர்,5
இடையே,5
கொடு,5
ஆதரவு,5
வகு,5
விஷயம்,5
மதிமுக,5
திரும்பு,5
பேச்சுவார்த்தை,5
தொல்பொருள்,5
விடுவி,5
செயல்,5
80,5
காலை,5
அக்டோபர்,5
வகி,5
தொழில்,5
உத்தரவு,5
விஜயதசமி,5
பாதுகா,5
பயன்படுத்து,5
6,5
ஒத்திவை,4
எதிர்க்கட்சி,4
உடை,4
திருடு,4
இந்நிலை,4
விதம்,4
மீனவ,4
எழு,4
கல்வி,4
செலுத்து,4
ரீதி,4
மிட்டல்,4
ஆசியா,4
ஜப்பான்,4
11,4
இங்கிலாந்து,4
இயக்கம்,4
இளைஞர்,4
கருது,4
பிற,4
கேள்வி,4
அதிகம்,4
கணிப்பு,4
நிருபமா,4
எம்பி,4
ரூ.,4
அங்கு,4
5,4
அமைச்சரவை,4
முடிவெடு,4
16,4
உயர்த்து,4
ஜனதாதளம்,4
மேற்பட்ட,4
உரிய,4
கொழும்பு,4
சந்திப்பு,4
செய்திக்குறிப்பு,4
நிறைவு,4
திருக்கோயில்,4
வடக்கு,4
திருவிழா,4
அதிகாலை,4
1,4
குறை,4
வெடிகுண்டு,4
பெரிதும்,4
4,4
வெள்ளி,4
9,4
மொத்தம்,4
நீதிபதி,4
வேலுசாமி,4
பிரதிநிதி,4
பிரசாரம்,4
ஜீவனாம்சம்,4
வசதி,4
மிரட்டல்,4
கொலை,4
அப்புறப்படுத்து,4
மாகாணம்,4
தீவிரவாதி,4
அனுப்பு,4
வலியுறுத்து,4
உயிரிழப்பு,4
லான்செட்,4
தடு,4
நேற்று,4
மாலை,4
பெருமை,4
போனஸ்,4
கட்டடம்,4
குண்டு,4
மனிதன்,4
தமிழினம்,4
கொடநாடு,4
எஸ்டேட்,4
வெள்ளை,4
கணக்கு,4
மாளிகை,4
தேயிலை,4
மணிப்பூர்,4
ரப்பர்,4
கவனம்,4
லலித்,4
மீண்டும்,4
முன்பதிவு,4
நார்வே,4
வரவேற்பு,4
தயாரி,4
கங்கை,4
தீர்,4
சமூகம்,4
அமெரிக்காவ்,4
கீழ்,4
சிறுத்தை,4
ஓடு,4
உத்தரப்பிரதேச,4
மிகுந்த,4
மாசுக்கட்டுப்பாடு,4
புறக்கணி,4
அருகே,4
இணையதளம்,4
மனு,4
காயமடை,4
பொறுப்பேல்,4
கர்நாடகம்,4
முழுவதும்,4
தமிழ்நாடு,4
விரைவு,4
பங்கேல்,4
போராட்டம்,4
கொண்டுவா,4
உடல்நிலை,4
உரிமை,4
நாம்,4
மருத்துவர்,4
இருவர்,4
சாய்னா,4
பணம்,4
சுடு,3
கைதி,3
விமர்சி,3
37,3
ஆப்பிரிக்கா,3
உடன்பாடு,3
85,3
7,3
ஷீலா,3
100,3
தீட்சித்,3
பஸ்,3
நியூஸிலாந்து,3
டி.வி.,3
கொண்டாடு,3
கிட,3
சிறந்த,3
அமைச்சகம்,3
மீன்பிடி,3
பண்டிகை,3
உச்சம்,3
தற்போது,3
விவரம்,3
மின்,3
பார்வையிடு,3
மீன்,3
ஹூஸ்டன்,3
ஆலயம்,3
கேரள,3
பெஞ்ச்,3
அறை,3
ஐநா,3
தண்டனை,3
சாகு,3
உள்ளூர்,3
பெரியாறு,3
கவலைப்படு,3
வவுனியா,3
பராக்,3
பதிவு,3
முல்லை,3
ஆளு,3
செட்,3
தனி,3
தூதரகம்,3
உயர்வு,3
தன்மை,3
கைப்பற்று,3
தோனி,3
அச்சுறுத்தல்,3
அதை,3
வருகை,3
நச்சு,3
பர்ன்ஸ்,3
மாறுபடு,3
தவிர,3
சொந்த,3
மதம்,3
உள்ளாட்சி,3
ஆலை,3
விதிமுறை,3
ஆளுநர்,3
அல்லது,3
பொன்சேகா,3
நகரம்,3
கோரு,3
நாளை,3
அண்ணா,3
ஐபிஎல்,3
செப்டம்பர்,3
பச்சையம்மாள்,3
தீர்மானம்,3
தொடு,3
டிக்கெட்,3
பட்,3
லட்சுமி,3
எதிர்பார்,3
15,3
ஸ்காட்லாந்து,3
யார்டு,3
நீர்,3
பீல்டு,3
கிரீன்,3
நேயம்,3
;,3
கெமிக்கல்ஸ்,3
பெட்ரோ,3
செவிலியர்,3
மலேரியா,3
கபில்,3
காந்தி,3
1992,3
குற்றம்சாட்டு,3
மணலி,3
ஹெலிகாப்டர்,3
சேப்பாக்கம்,3
சட்டப்பேரவை,3
வனத்தோட்டம்,3
எல்லை,3
விபத்துக்குள்ளாகு,3
வெளிப்படுத்து,3
ஆட்சியர்,3
மூத்த,3
கார்,3
சிபல்,3
பிரதமர்,3
’,3
இறக்கு,3
கடுமை,3
தொழிற்சங்கம்,3
வயது,3
துப்பாக்கிச்சண்டை,3
உபகரணம்,3
டி.,3
உறுதியாகு,3
நிமிடம்,3
ராகுல்,3
வழி,3
மதச்சார்பின்மை,3
விரும்பு,3
வாஷிங்டன்,3
குரல்,3
உலை,3
தாக்குதல்,3
சக்தி,3
ஜாக்கெட்டு,3
ஒருங்கிணை,3
தகுதி,3
விவகாரம்,3
ஆலோசனை,3
நாங்கள்,3
சங்கர்,3
மீரா,3
ஸ்ரீ,3
இவர்,3
தலிபான்,3
நீங்கள்,3
தொழிற்சாலை,3
தங்கு,3
சிபிஐ,3
இ-மெ,3
மார்க்சிஸ்ட்,3
உதவு,3
நல்ல,3
கே.எஸ்.ஸ்ரீபதி,3
கம்யூனிஸ்ட்,3
தேவை,3
தூதர்,3
உங்கள்,3
இதழ்,3
பாடுபடு,3
திராவிடர்,3
எல்லாம்,3
போக்குவரத்து,3
வாழ்த்து,3
விவாதி,3
ஸ்ரீபதி,3
உருக்கு,3
ஜனநாயகம்,3
சூதாட்டம்,3
சங்கம்,3
கடமை,3
நிலவு,3
ஆற்று,3
நம்,3
செலவழி,3
காரியம்,3
சிலர்,3
படிப்பு,3
குஜராத்,3
மீட்டர்,3
நோய்,3
புலனாய்வு,2
நிராகரி,2
கைத்துப்பாக்கி,2
பாதிப்பு,2
குமார்,2
25,2
மன்னிப்பு,2
தைரியம்,2
திருமாவளவன்,2
விருந்தினர்,2
ஏராளம்,2
தரூர்,2
அதிர்ச்சி,2
சுமார்,2
பிறர்,2
மீறு,2
பங்களிப்பு,2
போக்கு,2
அவ்விழா,2
குடியரசு,2
கி.,2
வீரமணி,2
சுயேட்சை,2
உட்பட,2
வரைவு,2
நீக்கம்,2
வாக்களி,2
நீக்கு,2
கழிவு,2
கல்,2
அணுஉலை,2
கூடம்,2
அக்கட்சி,2
மும்முரம்,2
பெரிய,2
கே.பி.பி.,2
அப்பகுதி,2
மும்பை,2
முற்றிலும்,2
மேம்படுத்து,2
நிறுத்து,2
சாலை,2
வன்முறை,2
ஆப்கன்,2
2010,2
ஜூன்,2
உக்ரைன்,2
பறி,2
மோது,2
ரயில்வே,2
கேட்,2
ஒலி,2
இவை,2
கட,2
முயல்,2
இ-மெயில்,2
மத்தி,2
மொழி,2
ஆங்கிலம்,2
சுற்று,2
நபர்,2
உள்பட,2
ஞாயிற்றுக்கிழமை,2
தொடர்பாளர்,2
அந்தஸ்து,2
ஏறக்குறைய,2
உறுப்பு,2
பிரகாசமடை,2
பிராந்தியம்,2
தென்னாப்பிரிக்கா,2
வளர்,2
நெருக்கடி,2
பிரேஸில்,2
விரிவாக்கம்,2
பங்கு,2
கடைசி,2
இதையொட்டி,2
ஜி-4,2
மிகவும்,2
ராபர்ட்,2
ஆய்வுத்துறை,2
அவை,2
வர்ணனையாளர்,2
அதிகாரம்,2
ராஜிநாமா,2
இனி,2
பெயர்,2
கேலி,2
பேச்சு,2
பட்டியல்,2
கிருஷ்ணர்,2
நியூஸ்வீக்,2
சுகாதாரம்,2
அம்சம்,2
திருப்பு,2
சிராக்,2
சீனா,2
வேண்டுகோள்,2
வாய்,2
எதிராக,2
ஆகியவை,2
மகளிர்,2
மலேசியா,2
வாங்,2
பிடு,2
தா,2
நூறு,2
மேற்பட்டோர்,2
பெரியார்,2
பல,2
உருவம்,2
எரி,2
இதேபோல்,2
உயர்நீதிமன்றம்,2
தீர்ப்பளி,2
சர்வே,2
பொங்கல்,2
வில்,2
விடுமுறை,2
90,2
?,2
பாண்டியன்,2
வகுப்பு,2
மன்மோகன்,2
வாழ்க்கை,2
வர்த்தகம்,2
எது,2
தலா,2
முன்னதாக,2
கஸ்தூரிபா,2
நலம்,2
125,2
பிரணாப்,2
முகர்ஜி,2
ராஷ்ட்ரீயம்,2
திறப்பு,2
கொஞ்சம்,2
அன்று,2
மாத்திரம்,2
பல்கலைக்கழகம்,2
துணைவேந்தர்,2
காளியப்பன்,2
பலன்,2
ஒத்துழைப்பு,2
சாதாரணம்,2
மனிதாபிமானம்,2
பலர்,2
உடல்,2
ஆவணி,2
இங்கு,2
நவராத்திரி,2
ஒன்பது,2
1.30,2
தேவி,2
நலன்,2
21,2
என்.,2
செயற்குழு,2
மற்ற,2
கே.,2
தீர்வு,2
கொடி,2
எதிர்பார்ப்பு,2
அத்தியாயம்,2
உலா,2
ஜார்ஜ்,2
வலுப்படுத்து,2
உத்தி,2
கண்டறி,2
பரிமாறு,2
ஆராய்,2
குறிப்பாக,2
கையெழுத்தாகு,2
உள்ளிட்டவை,2
எப்படி,2
எழுப்பு,2
ஜாதி,2
எதிரான,2
வாழ்நாள்,2
தடை,2
விதி,2
முன்னிறுத்து,2
ஏழை,2
லாம்ப்,2
அதனால்,2
தனித்து,2
ஊரகம்,2
குடிபெயர்,2
வெள்ளம்,2
பலப்படுத்து,2
காட்டு,2
ஏற்றுக்கொள்,2
அதுபோல்,2
தீர்மானி,2
கமிஷனர்,2
ராஜேந்திரன்,2
ஊடகம்,2
கொள்கை,2
கருணாகரன்,2
காய்ச்சல்,2
முடிவடை,2
2009-2010,2
கேப்டன்,2
ஊர்,2
புறப்பட்ட,2
அட்டவணை,2
நொய்டா,2
பாராட்டு,2
எஞினியர்,2
தூக்கிடு,2
பிரதாப்,2
அடங்கு,2
தங்கியிரு,2
மனைவியர்,2
திருமணம்,2
இந்திய-அமெரிக்கா,2
சொந்தம்,2
நிபந்தனை,2
பொருந்து,2
சாவேஸ்,2
மாற்றம்,2
தயாரிப்பு,2
நிகோலஸ்,2
சரிவரு,2
நிலம்,2
உறுதியளி,2
ஆயுதம்,2
ஜெயரத்ன,2
குழுவினர்,2
தேடு,2
மாசுபடுத்து,2
65,2
ஆகஸ்ட்,2
ஐஐடி,2
சுத்தப்படுத்து,2
தாண்டு,2
ஷா,2
அவ்வப்போது,2
முஸ்லீம்,2
வெளி,2
மையம்,2
தொடக்கம்,2
சதவீதத்தினர்,2
சதவீதம்,2
குழப்பம்,2
கண்டனம்,2
சிக்கு,2
லண்டன்,2
நிகழ்வு,2
முகமது,2
ஆசிப்,2
வழக்கறிஞர்,2
அங்கிருந்து,2
உள்ளிட்டோர்,2
வரவேல்,2
31,2
விழிப்பு,2
ஐ.ஏ.எஸ்.,2
பயிற்சி,2
இயக்குநர்,2
நகராட்சி,2
குடிநீர்,2
2008,2
செம்மொழி,2
நீட்டிப்பு,2
சாதனை,2
ராமகிருஷ்ணன்,2
காவல்,2
விளைவு,2
விரிசல்,2
சாசனம்,2
நினை,2
பாதகம்,2
தீர்ப்பு,2
ஆஜர்,2
கேரளம்,2
தென்,2
உணர்,2
அணுகுமுறை,2
முழு,2
வாழ்வாதாரம்,2
அற்ற,2
சூழல்,2
வரலாறு,2
ராவ்,2
அங்குள்ள,2
நிறை,2
தயார்,2
குடியமர்வு,2
விவசாயம்,2
பொருள்,2
மறுபடியும்,2
குடியமர்த்து,2
ஆலோசி,2
இதுதவிர,2
குடும்பம்,2
சிமென்ட்,2
மூட்டை,2
பாதை,2
விளையாட்டு,2
அந்நாடு,2
நகர்,2
ஊழியர்,2
நேரம்,2
அடுத்து,2
ரத்து,2
தும்கா,2
மாவோயிஸ்ட்,2
கடும்,2
போலீசார்,2
ஜாமா,2
முன்னிட்டு,2
128,2
அல்கொய்தா,2
பின்,2
லேடன்,2
இரவு,2
பகல்,2
இன்னும்,2
பள்ளி,2
திக்விஜய்,2
பேராசிரியர்,2
மாணவர்,2
பிரதேசம்,2
பெரும்பான்மை,2
முக்கியமானவர்,1
சசி,1
சந்தேகி,1
gஎர்மனி,1
ராணுவத்தினர்,1
அவசரம்,1
பிரகடனம்,1
பயமுறுத்து,1
வேண்டியவை,1
எப்போதைக்கு,1
சாத்தியம்,1
தூண்டுதல்,1
யோசனை,1
சீர்திருத்த,1
சொல்,1
1995ல்,1
அப்போதைய,1
பொதுச்சபை,1
நாட்டவர்,1
ரஸôலி,1
இஸ்மாயில்,1
பின்தங்கு,1
1992-96ல்,1
புட்ரோஸ்,1
காலி,1
அதாவது,1
படிப்படி,1
2022,1
விரிவுபடுத்து,1
அதன்படி,1
புதுதில்லி,1
கொல்கத்தா,1
ஆந்திரம்,1
முந்து,1
வரிசை,1
பா.ம.க.,1
நிறுவனர்,1
ராமதாஸ்,1
அறிவிப்பு,1
பண்பாடு,1
அடையாளம்,1
இயற்று,1
முன்பு,1
அப்படி,1
வாழ்விடம்,1
அகற்று,1
உள்நாடு,1
நாளிதழ்,1
முழுப்பக்கம்,1
விளம்பரப்படு,1
நினைவு,1
சின்னம்,1
1000,1
அடி,1
கட்டுமானம்,1
மீறுவோர்,1
அபராதம்,1
குடும்பத்தினர்,1
பெருகு,1
மூதாதையர்,1
தாழ்வாரம்,1
கழிப்பு,1
உரிமையாளர்,1
சம்பந்தப்பட்ட,1
தண்டி,1
ஏற்கனவே,1
இடி,1
இணைப்பு,1
சுதந்திரம்,1
ஒழுங்குமுறை,1
கிளர்,1
78,1
தொகு,1
அண்டை,1
59,1
66,1
பங்களாதேஷ்,1
முறையே,1
88,1
89,1
தென்கொரியா,1
சிங்கப்பூர்,1
நான்கு,1
பின்லாந்து,1
சுவிட்சர்லாந்து,1
ஸ்வீடன்,1
ஆஸ்திரேலியா,1
அகியவை,1
14,1
பற்றிய,1
வாசகர்,1
‘,1
ஆரோக்கியம்,1
தகுந்த,1
பதில்,1
நேசி,1
முதலிடம்,1
முன்னர்,1
செலவினம்,1
பரிந்துரை,1
பிரிவினர்,1
அதிருப்தி,1
சமாஜவாதி,1
சனிக்கிழமை,1
திருநெல்வேலி,1
எதிர்கட்சி,1
மரியாதை,1
நிமித்தம்,1
திருச்செந்தூர்,1
அருள்மிகு,1
சுப்பிரமணியசுவாமி,1
கொடியேற்றம்,1
தொடக்கு,1
நடைதிற,1
விஷ்வரூபம்,1
தரிசனம்,1
உதய,1
மார்த்தாண்டம்,1
அபிஷேகம்,1
பூஜை,1
பல்லக்கு,1
பட்டம்,1
வீதி,1
5.20,1
வேதம்,1
ஓது,1
பஞ்வாத்தியம்,1
முழங்கு,1
பக்தர்,1
ஆரோகரா,1
கோஷம்,1
செப்பு,1
மரம்,1
சிவாச்சாரியர்,1
கொடியேற்று,1
பேட்ஸ்மேன்,1
ஆலன்,1
இடம்தரு,1
விளையாடு,1
தடைவிதி,1
முன்வா,1
தயக்கம்,1
நேரடி,1
செய்தித்தொடர்பாளர்,1
அப்துல்,1
பாசித்,1
முத்தரப்பு,1
இறுதிப்போட்டி,1
மகேந்திர,1
சூப்பர்,1
கிங்ஸ்,1
800,1
டெஸ்ட்,1
விக்கெட்டு,1
வீழ்த்து,1
முத்தையா,1
முரளிதரன்,1
கௌரவி,1
வெனிசூலா,1
கொலம்பியா,1
ஹியுகோ,1
ரஷ்யா,1
எமை-17,1
ஓடுதளம்,1
உள்ளாகு,1
தொலைக்காட்சி,1
தென்மேற்கு,1
அபூர்,1
என்கவுன்ட்டர்,1
மறுநாள்,1
55,1
டன்,1
அமித்,1
வாழு,1
ஆபத்து,1
மெட்ரிக்,1
எண்ணூர்,1
60,1
2500,1
லிமிடெட்,1
கூடாரம்,1
வெளியேற்று,1
பாக்கெட்,1
2.5,1
ரசாயனம்,1
குழாய்,1
சேகரி,1
அட்டாரி,1
நிதியுதவி,1
விடுதலைசெய்,1
பொதுக்கூட்டம்,1
சாமியிடம்,1
நரேந்திர,1
மேற்படி,1
உற்பத்தி,1
மடி,1
சூழ்நிலை,1
ராஜஸ்தான்,1
தடைபடு,1
சாமி,1
500,1
மேம்பாட்டுத்துறை,1
கழிவுநீரை,1
|,1
திருவள்ளூர்,1
14.10.2010,1
வியாழன்,1
கிழமை,1
எதிரில்,1
இலக்கியம்,1
பழ.,1
கருப்பையா,1
கண்டன,1
பெரிஸ்ûஸ,1
ஜி.எல்.,1
பக்டிகா,1
எம்.பி.,1
ஜானி,1
கேல்,1
வாகனம்,1
வீசு,1
ராக்கெட்,1
தாக்கு,1
ஜபூல்,1
ஷாஜோய்,1
ஜீப்,1
சாலையோரம்,1
திரிகோணமலை,1
ஏறு,1
நுழைவு,1
ஜம்மு-காஷ்மீர்,1
பலியாகு,1
வாக்காளர்,1
நாள்தோறும்,1
45,1
தீவு,1
பஞ்சாப்,1
1200க்க்,1
2000,1
பிறப்பி,1
முன்,1
செய்திரு,1
புதை,1
டிநிபெட்ரோவிஸ்க்,1
மார்ஹனெட்ஸ்,1
58,1
ஆவர்,1
தானியங்கி,1
இறஙு,1
எச்சரிக்கை,1
தேர்வு,1
பெரும்பாலானவர்,1
கண்டுகொள்,1
ஓட்டுநர்,1
இரட்டையர்,1
ஓட்டு,1
நல்லெண்ணம்,1
பயங்கரம்,1
வேகம்,1
பலம்,1
விடுதலைப்புலி,1
அருகு,1
மிஸ்ரி,1
விக்ரம்,1
கவலைக்கிடம்,1
யெவ்ஹெனி,1
கிரேவட்ஸ்,1
காந்தா,1
அசோக்,1
தேவையானவற்றை,1
சிரமப்படு,1
உபயோகம்,1
மதுரை,1
காண்பி,1
18-ல்,1
10-க்க்,1
கடிதம்,1
ஹீனா,1
தனிப்பிரிவு,1
திங்கள்கிழமை,1
அடிக்கடி,1
தொந்தரவு,1
சித்து,1
அன்னு,1
ஊடுருவு,1
வெளியே,1
காவல்துறை,1
டி.ராஜேந்திரன்,1
குழி,1
ராஜ்,1
பதுங்கு,1
சீரமைப்பு,1
குனார்,1
தளம்,1
தன்னார்வம்,1
தொண்டு,1
ஜேடி,1
ஓமந்தை,1
ரம்ஜான்,1
வெளிவரு,1
பேட்டி,1
செட்டிகுளம்,1
சதுர்த்தி,1
தலைமையகம்,1
விநாயகர்,1
19,1
இடைவெளி,1
வன்னி,1
கண்டிப்பாக,1
விரை,1
இயன்றவரை,1
முடிந்தளவு,1
கஜகஸ்தான்,1
விலகு,1
சம்ரேஷ்,1
எங்கள்,1
லத்தீன்,1
ஜங்,1
அந்தந்த,1
மேற்கு,1
ஐரோப்பா,1
கனடா,1
போர்ச்சுக்கல்,1
சந்திரசேகர்,1
ஆளுங்கட்சி,1
செளத்ரி,1
பிரேசில்,1
ரஷியா,1
பங்காற்றும்,1
ஹர்தீப்,1
பூரி,1
மூன்றில்,1
ஜோடி,1
இதன்படி,1
அதிகளவு,1
சாராத,1
வெளிநாடு,1
ஆஸ்திரியா,1
மெக்ஸிகோ,1
துருக்கி,1
உகாண்டா,1
ஆகியவற்றின்,1
நிறைவடை,1
இதுபோல்,1
தாக்கம்,1
துப்பாக்கிச்சுடுதல்,1
தேர்ந்தெடு,1
பதவிக்காலம்,1
நியூயார்க்,1
திராவிடம்,1
உரையாற்று,1
எஸ்.எம்.,1
கிருஷ்ணா,1
தேஜஸ்வினி,1
அவசியம்,1
அப்போதுதான்,1
ஒருமி,1
எட்டு,1
காஞ்சிபுரம்,1
செப்.15,1
பின்னடைவு,1
ஆர்சிலார்,1
முல்லைப்பெரியாறு,1
எல்.என்.,1
டோக்கியோ,1
டெக்ஹின்ட்,1
பாலோ,1
ரோகா,1
ஓராண்டு,1
பிரிட்டிஷ்,1
ஸ்டீல்,1
சர்,1
சாவந்த்,1
ஸ்கோலே,1
முதன்,1
மோசம்,1
பாசனம்,1
இனம்,1
ஏக்கர்,1
17,1
நோக்கம்,1
ராஞ்சி,1
ஒப்புதல்,1
எழுத்துப்பூர்வம்,1
ரவிசங்கர்,1
சாதகம்,1
அறிவுறுத்து,1
தளபதி,1
உச்சரி,1
அவமானப்படுத்து,1
துச்சம்,1
வருத்தம்,1
சரத்,1
இந்தளவு,1
சர்ச்சை,1
பெரிது,1
பய,1
வார்த்தை,1
மன்து,1
புண்படுத்து,1
மன்னி,1
தடவை,1
உச்சநீதிமன்றம்,1
பழமைவாய்,1
கான்ஸ்டபிள்,1
வழக்கம்,1
ஒதுக்கீடு,1
380,1
கேரளஅரசு,1
ஆயிரக்கணக்கு,1
சரணடை,1
கொடுத்திடு,1
கோயில்,1
மேற்கண்ட,1
அதிரடிப்படை,1
எவ்விதம்,1
சன்மானம்,1
பித்தளை,1
திருடர்,1
பழமை,1
அச்சப்படு,1
மட்டுமல்லாது,1
வழிபாடு,1
விபரீதம்,1
வெற்றிபெறு,1
206,1
106,1
அற்றவன்,1
பதிவாகு,1
திங்கட்கிழமையன்று,1
சரண்,1
சுயேச்சை,1
லத்திகா,1
பரபரப்பு,1
பேட்மின்டன்,1
ஒற்றையர்,1
டி.ஜி.பி.ய்,1
நேவல்,1
எஸ்.மாலதிய்,1
ஆயுள்,1
ஆதரவாளர்,1
தோல்வியடை,1
டிஜிபி,1
19-21,1
