sentence_id,token_id,form,lemma,upos,deprel,head
s6,7,அமைக்க,அமை,V,AAdjn,9
s6,8,ப்பட,படு,V,AuxV,7
s6,9,உள்ள,உள்,J,AdjAtr,13
s6,10,கிரீன்,கிரீன்,N,Atr,11
s6,11,பீல்டு,பீல்டு,N,Atr,13
s6,12,விமான,விமானம்,N,Atr,13
s6,13,நிலையத்துக்கு,நிலையம்,N,Obj,15
s6,14,பாதிப்பு,பாதிப்பு,N,Obj,15
s6,15,ஏற்படும்,ஏற்படு,J,AdjAtr,16
s6,16,வகையில்,வகை,N,AuxC,28
s6,17,அதிமுக,அதிமுக,N,Atr,19
s6,18,பொதுச்,பொது,N,Atr,19
s6,19,செயலாளர்,செயலாளர்,N,Atr,20
s6,20,ஜெயலலிதா,ஜெயலலிதா,N,Atr_M,21
s6,21,",",",",Z,Coord,25
s6,22,பா.ம.க.,பா.ம.க.,N,Atr,23
s6,23,நிறுவனர்,நிறுவனர்,N,Atr,24
s6,24,ராமதாஸ்,ராமதாஸ்,N,Atr_M,21
s6,25,ஆகியோர்,ஆகியோர்,N,Sb,28
s6,26,போராட்ட,போராட்டம்,J,Atr,27
s6,27,அறிவிப்பை,அறிவிப்பு,N,Obj,28
s6,28,வெளியிட்ட்,வெளியிடு,V,Pred,0
s6,29,உள்ளனர்,உள்,V,AuxV,28
s6,30,.,.,Z,AuxK,0
s7,1,மத்திய,மத்திய,J,Atr,2
s7,2,அரசு,அரசு,N,Sb,4
s7,3,புதிதாகக்,புதிது,A,AAdjn,4
s7,4,கொண்டுவந்த்,கொண்டுவா,V,AComp,5
s7,5,உள்ள,உள்,J,AdjAtr,8
s7,6,தொல்பொருள்,தொல்பொருள்,N,Atr,8
s7,7,ஆய்வுச்,ஆய்வு,N,Atr,8
s7,8,சட்டம்,சட்டம்,N,Sb,12
s7,9,மக்களின்,மக்கள்,N,Atr,11
s7,10,அடிப்படை,அடிப்படை,N,Atr,11
s7,11,உரிமைகளைப்,உரிமை,N,Obj,12
s7,12,பறிக்கும்,பறி,J,AdjAtr,13
s7,13,வகையில்,வகை,N,AuxC,14
s7,14,உள்ளதால்,உள்,V,AAdjn,24
s7,15,அதை,அது,R,Obj,16
s7,16,திரும்பப்,திரும்பு,V,Obj,19
s7,17,பெற,பெறு,V,CC,16
s7,18,வேண்டும்,வேண்டு,V,AuxV,16
s7,19,என,என்,T,AuxC,24
s7,20,மதிமுக,மதிமுக,N,Atr,21
s7,21,பொதுச்செயலர்,பொதுச்செயலர்,N,Atr,22
s7,22,வைகோ,வைகோ,N,Sb,24
s7,23,கோரிக்கை,கோரிக்கை,N,Obj,24
s7,24,விடுத்த்,விடு,V,Pred,0
s7,25,உள்ளார்,உள்,V,AuxV,24
s7,26,.,.,Z,AuxK,0
s8,1,இதுகுறித்து,இதுகுறித்து,A,AAdjn,3
s8,2,அவர்,அவர்,R,Sb,3
s8,3,வெளியிட்ட்,வெளியிடு,V,AComp,4
s8,4,உள்ள,உள்,J,AdjAtr,5
s8,5,அறிக்கை,அறிக்கை,N,Pnom,0
s8,6,:,:,Z,AuxK,5
s8,7,.,.,Z,AuxK,0
s9,1,பண்பாட்டு,பண்பாடு,N,Atr,2
s9,2,அடையாளங்களைப்,அடையாளம்,N,Obj,3
s9,3,பாதுகாக்க,பாதுகா,V,AAdjn,12
s9,4,தொல்பொருள்,தொல்பொருள்,N,Atr,6
s9,5,ஆய்வுத்,ஆய்வு,N,Atr,6
s9,6,துறை,துறை,N,Atr,7
s9,7,உருவாக்கப்,உருவாகு,V,AAdjn,12
s9,8,பட்டு,படு,V,AuxV,7
s9,9,",",",",Z,AuxX,12
s9,10,தனிச்,தனி,J,Atr,11
s9,11,சட்டங்கள்,சட்டம்,N,Sb,12
s9,12,இயற்றப்,இயற்று,V,Pred,0
s9,13,பட்டு,படு,V,AuxV,12
s9,14,உள்ளன,உள்,V,AuxV,12
s9,15,.,.,Z,AuxK,0
s10,1,ஆனால்,ஆனால்,A,AAdjn,11
s10,2,",",",",Z,AuxX,11
s10,3,இந்த,இந்த,D,AuxA,4
s10,4,அமைப்பு,அமைப்பு,N,Comp,5
s10,5,உருவாவதற்கு,உருவாகு,V,AComp,6
s10,6,முன்பு,முன்பு,A,AAdjn,11
s10,7,அப்,அந்த,D,AuxA,8
s10,8,பகுதியில்,பகுதி,N,AComp,9
s10,9,வாழ்ந்தவர்கள்,வாழ்,N,Sb,11
s10,10,தான்,தான்,T,AuxZ,9
s10,11,பாதுகாத்து,பாதுகா,V,Pred,0
s10,12,வந்தனர்,வா,V,AuxV,11
s10,13,.,.,Z,AuxK,0
s11,1,அப்படிப்,அப்படி,A,AComp,2
s11,2,பாதுகாத்த,பாதுகா,J,AdjAtr,3
s11,3,மக்களை,மக்கள்,N,Obj,13
s11,4,",",",",Z,AuxX,13
s11,5,அவர்களது,அவர்,R,Atr,6
s11,6,வாழ்விடங்கள்,வாழ்விடம்,N,AComp,7
s11,7,இலிருந்து,இலிருந்து,P,AuxP,8
s11,8,அகற்றி,அகற்று,V,AComp,13
s11,9,",",",",Z,AuxX,13
s11,10,உள்நாட்டு,உள்நாடு,N,Atr,11
s11,11,அகதிகள்,அகதி,N,AComp,12
s11,12,ஆக,ஆகு,P,AuxP,13
s11,13,மாற்றுகின்ற,மாற்று,J,AdjAtr,14
s11,14,வகையில்,வகை,N,AuxC,28
s11,15,",",",",Z,AuxX,28
s11,16,மத்தியில்,மத்தி,N,AComp,17
s11,17,ஆளும்,ஆளு,J,AdjAtr,22
s11,18,காங்கிரஸ்,காங்கிரஸ்,N,Atr,21
s11,19,-,-,Z,AuxG,21
s11,20,தி.மு.க.,தி.மு.க.,N,Atr,21
s11,21,கூட்டணி,கூட்டணி,N,Atr,22
s11,22,அரசு,அரசு,N,Sb,28
s11,23,புதிதாக,புதிது,A,AAdjn,28
s11,24,ஒரு,ஒரு,J,Atr,27
s11,25,தொல்பொருள்,தொல்பொருள்,N,Atr,27
s11,26,ஆய்வுச்,ஆய்வு,N,Atr,27
s11,27,சட்டத்தைக்,சட்டம்,N,Obj,28
s11,28,கொண்டு,கொள்,V,Pred,0
s11,29,வந்து,வா,V,AuxV,28
s11,30,உள்ளது,உள்,V,AuxV,28
s11,31,.,.,Z,AuxK,0
s12,1,இச்சட்டம்,சட்டம்,N,AAdjn,2
s12,2,குறித்து,குறி,P,AuxP,17
s12,3,",",",",Z,AuxX,17
s12,4,தமிழ்,தமிழ்,N,Atr,5
s12,5,உள்ளிட்ட,உள்ளிடு,J,AdjAtr,7
s12,6,மாநில,மாநிலம்,N,Atr,7
s12,7,மொழிகளில்,மொழி,N,AAdjn_M,9
s12,8,உம்,உம்,T,AuxZ,7
s12,9,மற்றும்,மற்றும்,C,Coord_M,14
s12,10,ஆங்கிலத்தில்,ஆங்கிலம்,N,AAdjn_M,9
s12,11,உம்,உம்,T,AuxZ,10
s12,12,அனைத்து,அனைத்து,J,Atr,13
s12,13,நாளிதழ்களில்,நாளிதழ்,N,AAdjn_M,14
s12,14,உம்,உம்,T,Coord,17
s12,15,முழுப்பக்க,முழுப்பக்கம்,J,Atr,16
s12,16,அளவில்,அளவு,N,AAdjn,17
s12,17,விளம்பரப்படுத்தி,விளம்பரப்படு,V,Pred,0
s12,18,உள்ளது,உள்,V,AuxV,17
s12,19,.,.,Z,AuxK,0
s13,1,புதிய,புதிய,J,Atr,2
s13,2,சட்டத்தின்,சட்டம்,N,AAdjn,3
s13,3,படி,படி,P,AuxP,16
s13,4,",",",",Z,AuxX,16
s13,5,பாதுகாக்கப்,பாதுகா,V,AComp,6
s13,6,பட்ட,படு,J,AdjAtr,8
s13,7,நினைவுச்,நினைவு,N,Atr,8
s13,8,சின்னத்த்,சின்னம்,N,AAdjn,9
s13,9,இலிருந்து,இரு,P,AuxP,16
s13,10,1000,1000,U,Atr,11
s13,11,அடி,அடி,N,AAdjn,12
s13,12,வரை,வரை,P,AuxP,16
s13,13,எந்த,எந்த,D,AuxA,14
s13,14,கட்டுமானம்,கட்டுமானம்,N,Obj,16
s13,15,உம்,உம்,T,AuxZ,14
s13,16,கட்ட,கட்டு,V,AAdjn,17
s13,17,அனுமதி,அனுமதி,N,Pred,0
s13,18,இல்லை,இல்,V,AuxV,17
s13,19,.,.,Z,AuxK,0
s14,1,மீறுவோருக்கு,மீறுவோர்,N,Obj,10
s14,2,ஒரு,ஒரு,J,Atr,3
s14,3,லட்சம்,லட்சம்,U,Atr,5
s14,4,அபராதத்,அபராதம்,N,Atr,5
s14,5,தொகைய்,தொகை,N,Atr,6
s14,6,உடன்,உடன்,P,AuxP,8
s14,7,மூன்று,மூன்று,U,Atr,8
s14,8,ஆண்டுகள்,ஆண்டு,N,AComp,10
s14,9,சிறைத்,சிறை,N,Atr,10
s14,10,தண்டனை,தண்டனை,N,Pnom,0
s14,11,.,.,Z,AuxK,0
s15,1,குடும்பத்தினர்,குடும்பத்தினர்,N,Atr,2
s15,2,எண்ணிக்கை,எண்ணிக்கை,N,Obj,3
s15,3,பெருகி,பெருகு,V,AComp,6
s15,4,இட,இடம்,N,Atr,5
s15,5,நெருக்கடி,நெருக்கடி,N,Obj,6
s15,6,ஏற்படும்,ஏற்படு,J,AdjAtr,7
s15,7,நிலையில்,நிலை,N,AAdjn,39
s15,8,தங்களின்,தன்,R,Atr,9
s15,9,மூதாதையர்கள்,மூதாதையர்,N,Sb,10
s15,10,வாழ்ந்த,வாழ்,J,AdjAtr,11
s15,11,வீட்டை,வீடு,N,Obj,12
s15,12,விரிவாக்கம்,விரிவாக்கம்,N,AAdjn,25
s15,13,செய்யவ்,செய்,V,AuxV,12
s15,14,ஓ,ஓ,T,AuxZ,13
s15,15,",",",",Z,AuxX,25
s15,16,கூடுதல்,கூடுதல்,J,Atr,17
s15,17,அறைய்,அறை,N,Obj_M,25
s15,18,ஓ,ஓ,T,AuxZ,17
s15,19,",",",",Z,AuxX,25
s15,20,தாழ்வாரம்,தாழ்வாரம்,N,Obj_M,25
s15,21,ஓ,ஓ,T,AuxZ,20
s15,22,",",",",Z,AuxX,25
s15,23,கழிப்பு,கழிப்பு,N,Atr,24
s15,24,அறைய்,அறை,N,Obj_M,25
s15,25,ஓ,ஓ,T,Coord,26
s15,26,கட்டினால்,கட்டு,V,AAdjn,39
s15,27,கூட,கூடு,T,AuxZ,26
s15,28,இச்,இந்த,D,AuxA,29
s15,29,சட்டத்தின்,சட்டம்,N,AAdjn,30
s15,30,படி,படி,P,AuxP,39
s15,31,வீட்டின்,வீடு,N,Atr,32
s15,32,உரிமையாளர்,உரிமையாளர்,N,Sb_M,38
s15,33,உம்,உம்,T,AuxZ,32
s15,34,",",",",Z,AuxX,38
s15,35,சம்பந்தப்பட்ட,சம்பந்தப்பட்ட,J,AdjAtr,37
s15,36,அரசு,அரசு,N,Atr,37
s15,37,அதிகாரிகள்,அதிகாரி,N,Sb_M,38
s15,38,உம்,உம்,T,Coord,39
s15,39,தண்டிக்கப்,தண்டி,V,Pred,0
s15,40,படுவார்கள்,படு,V,AuxV,39
s15,41,.,.,Z,AuxK,0
s16,1,ஏற்கனவே,ஏற்கனவே,A,AAdjn,2
s16,2,வாழ்ந்து,வாழ்,V,AComp,3
s16,3,வரும்,வரு,J,AdjAtr,4
s16,4,வீடுகள்,வீடு,N,Sb,9
s16,5,தொல்பொருள்,தொல்பொருள்,N,Atr,6
s16,6,ஆய்வுத்துறையின்,ஆய்வுத்துறை,N,Atr,7
s16,7,அனுமதி,அனுமதி,N,AAdjn,8
s16,8,பெறாமல்,பெறு,V,AuxP,9
s16,9,கட்டப்,கட்டு,V,AAdjn,17
s16,10,பட்டு,படு,V,AuxV,9
s16,11,இருப்பின்,இரு,V,AuxV,9
s16,12,",",",",Z,AuxX,17
s16,13,அவற்றை,அவை,R,Obj,14
s16,14,இடிப்பதற்க்,இடி,V,Obj,17
s16,15,உம்,உம்,T,AuxZ,14
s16,16,அதிகாரம்,அதிகாரம்,N,Sb,17
s16,17,வழங்கப்,வழங்கு,V,Pred,0
s16,18,பட்டு,படு,V,AuxV,17
s16,19,உள்ளது,உள்,V,AuxV,17
s16,20,.,.,Z,AuxK,0
s17,1,இப்,இந்த,D,AuxA,2
s17,2,பகுதிகளில்,பகுதி,N,AAdjn,7
s17,3,புதிதாக,புதிது,A,AAdjn,7
s17,4,மின்,மின்,N,Atr,5
s17,5,இணைப்புகள்,இணைப்பு,N,Sb,7
s17,6,இனி,இனி,A,AAdjn,7
s17,7,வழங்கப்,வழங்கு,V,Pred,0
s17,8,பட,படு,V,AuxV,7
s17,9,மாட்டாது,மாட்டு,V,AuxV,7
s17,10,.,.,Z,AuxK,0
s18,1,இந்தப்,இந்த,D,AuxA,3
s18,2,புதிய,புதிய,J,Atr,3
s18,3,சட்டம்,சட்டம்,N,Sb,12
s18,4,சுதந்திர,சுதந்திரம்,N,Atr,5
s18,5,இந்தியாவில்,இந்தியா,N,AComp,6
s18,6,வாழ்வதற்கு,வாழ்,V,AComp,7
s18,7,வழங்கப்,வழங்கு,V,AComp,9
s18,8,பட்டு,படு,V,AuxV,7
s18,9,உள்ள,உள்,J,AdjAtr,11
s18,10,அடிப்படை,அடிப்படை,N,Atr,11
s18,11,உரிமைகளைப்,உரிமை,N,Obj,12
s18,12,பறிக்கும்,பறி,J,AdjAtr,13
s18,13,வகையில்,வகை,N,AuxC,14
s18,14,அமைந்த்,அமை,V,Pred,0
s18,15,உள்ளது,உள்,V,AuxV,14
s18,16,.,.,Z,AuxK,0
s19,1,மீன்பிடி,மீன்பிடி,N,Atr,3
s19,2,ஒழுங்குமுறைச்,ஒழுங்குமுறை,N,Atr,3
s19,3,சட்டத்தை,சட்டம்,N,Obj,4
s19,4,எதிர்த்து,எதிர்,V,AAdjn,10
s19,5,",",",",Z,AuxX,10
s19,6,மீனவ,மீனவ,N,Atr,7
s19,7,மக்கள்,மக்கள்,N,Atr,10
s19,8,கிளர்ந்து,கிளர்,V,AAdjn,10
s19,9,எழுந்து,எழு,V,CC,8
s19,10,போராடியதைப்,போராடு,V,Obj,11
s19,11,போல,போல்,P,AuxP,22
s19,12,",",",",Z,AuxX,22
s19,13,தொல்பொருள்,தொல்பொருள்,N,Atr,14
s19,14,ஆய்வுத்துறை,ஆய்வுத்துறை,N,Sb,15
s19,15,கொண்டு,கொள்,V,AComp,17
s19,16,வந்து,வா,V,AuxV,15
s19,17,உள்ள,உள்,J,AdjAtr,18
s19,18,சட்டத்தைய்,சட்டம்,N,Obj,20
s19,19,உம்,உம்,T,AuxZ,18
s19,20,எதிர்த்து,எதிர்,V,AAdjn,22
s19,21,மக்கள்,மக்கள்,N,Sb,22
s19,22,போராட,போராடு,V,Pred,0
s19,23,வேண்டும்,வேண்டு,V,AuxV,22
s19,24,.,.,Z,AuxK,0
s20,1,உலகின்,உலகம்,N,Atr,4
s20,2,மிகச்,மிக,Q,Atr,3
s20,3,சிறந்த,சிறந்த,J,Atr,4
s20,4,நாடுகள்,நாடு,N,Atr,5
s20,5,பட்டியலில்,பட்டியல்,N,AAdjn,9
s20,6,இந்தியாவுக்கு,இந்தியா,N,Sb,9
s20,7,78வது,78,U,Atr,8
s20,8,இடம்,இடம்,N,Obj,9
s20,9,கிடைத்த்,கிடை,V,Pred,0
s20,10,உள்ளது,உள்,V,AuxV,9
s20,11,.,.,Z,AuxK,0
s21,1,அமெரிக்க,அமெரிக்கா,N,Atr,2
s21,2,பத்திரிகைய்,பத்திரிகை,N,Atr,3
s21,3,ஆன,ஆன,T,Atr,4
s21,4,நியூஸ்வீக்,நியூஸ்வீக்,N,Sb,20
s21,5,",",",",Z,AuxX,20
s21,6,உலக,உலகம்,N,Atr,7
s21,7,நாடுகளில்,நாடு,N,AAdjn,20
s21,8,சுகாதாரம்,சுகாதாரம்,N,Atr_M,13
s21,9,",",",",Z,AuxX,13
s21,10,கல்வி,கல்வி,N,Atr_M,13
s21,11,",",",",Z,AuxX,13
s21,12,பொருளாதாரம்,பொருளாதாரம்,N,Atr_M,13
s21,13,",",",",Z,Coord,15
s21,14,அரசியல்,அரசியல்,N,Atr_M,13
s21,15,ஆகிய,ஆகு,J,AdjAtr,16
s21,16,அம்சங்களை,அம்சம்,N,Obj,19
s21,17,அடிப்படைய்,அடிப்படை,N,AComp,18
s21,18,ஆக,ஆகு,A,AComp,19
s21,19,வைத்துத்,வை,V,AAdjn,20
s21,20,தொகுத்ததில்,தொகு,V,AAdjn,23
s21,21,இந்த,இந்த,D,AuxA,22
s21,22,முடிவு,முடிவு,N,Sb,23
s21,23,வெளியாகிய்,வெளியாகு,V,Pred,0
s21,24,உள்ளது,உள்,V,AuxV,23
s21,25,.,.,Z,AuxK,0
s22,1,இந்தியாவின்,இந்தியா,N,Atr,3
s22,2,அண்டை,அண்டை,J,Atr,3
s22,3,நாடுகள்,நாடு,N,Atr,4
s22,4,ஆன,ஆன,T,Atr,5
s22,5,சீனா,சீனா,N,Sb,7
s22,6,59வது,59,U,Comp,7
s22,7,இடத்தைய்,இடம்,N,Obj,23
s22,8,உம்,உம்,T,AuxZ,7
s22,9,",",",",Z,AuxX,23
s22,10,இலங்கை,இலங்கை,N,Sb,12
s22,11,66வது,66,U,Comp,12
s22,12,இடத்தைய்,இடம்,N,Obj,23
s22,13,உம்,உம்,T,AuxZ,12
s22,14,பங்களாதேஷ்,பங்களாதேஷ்,N,Sb_M,15
s22,15,மற்றும்,மற்றும்,C,Coord,17
s22,16,பாகிஸ்தான்,பாகிஸ்தான்,N,Sb_M,15
s22,17,ஆகியவை,ஆகியவை,N,Atr,18
s22,18,முறையே,முறையே,P,AuxP,22
s22,19,88,88,U,Comp,20
s22,20,மற்றும்,மற்றும்,C,Coord,22
s22,21,89வது,89,U,Comp,20
s22,22,இடத்தைய்,இடம்,N,Obj,23
s22,23,உம்,உம்,T,AuxZ,24
s22,24,பிடித்த்,பிடு,V,AuxV,25
s22,25,உள்ளன,உள்,V,Pred,0
s22,26,.,.,Z,AuxK,0
s23,1,ஆசிய,ஆசியா,N,Atr,2
s23,2,நாடுகளில்,நாடு,N,AAdjn,17
s23,3,",",",",Z,AuxX,17
s23,4,ஜப்பான்,ஜப்பான்,N,Atr_M,7
s23,5,",",",",Z,AuxX,7
s23,6,தென்கொரியா,தென்கொரியா,N,Atr_M,7
s23,7,",",",",Z,Coord,9
s23,8,சிங்கப்பூர்,சிங்கப்பூர்,N,Atr_M,7
s23,9,ஆகிய,ஆகு,J,AdjAtr,11
s23,10,மூன்று,மூன்று,U,Atr,11
s23,11,நாடுகள்,நாடு,N,Sb,17
s23,12,மட்டுமே,மட்டும்,T,AuxZ,11
s23,13,முதல்,முதல்,U,Atr,14
s23,14,20,20,U,Comp,15
s23,15,இடங்களுக்க்,இடம்,N,AComp,16
s23,16,உள்,உள்,P,AuxP,17
s23,17,உள்ளன,உள்,V,Pred,0
s23,18,.,.,Z,AuxK,0
s24,1,இந்தப்,இந்த,D,AuxA,2
s24,2,பட்டியலில்,பட்டியல்,N,AComp,6
s24,3,முதல்,முதல்,U,Atr,4
s24,4,நான்கு,நான்கு,U,Comp,5
s24,5,இடங்களைப்,இடம்,N,Obj,6
s24,6,பிடித்த,பிடி,J,AdjAtr,7
s24,7,நாடுகள்,நாடு,N,Atr,16
s24,8,",",",",Z,AuxX,16
s24,9,பின்லாந்து,பின்லாந்து,N,Atr_M,14
s24,10,",",",",Z,AuxX,14
s24,11,சுவிட்சர்லாந்து,சுவிட்சர்லாந்து,N,Atr_M,14
s24,12,",",",",Z,AuxX,14
s24,13,ஸ்வீடன்,ஸ்வீடன்,N,Atr_M,14
s24,14,",",",",Z,Coord,16
s24,15,ஆஸ்திரேலியா,ஆஸ்திரேலியா,N,Atr_M,14
s24,16,அகியவை,அகியவை,N,Pnom,0
s24,17,.,.,Z,AuxK,0
s25,1,அமெரிக்கா,அமெரிக்கா,N,Sb,3
s25,2,11வது,11,U,Atr,3
s25,3,இடத்தைய்,இடம்,N,Obj_M,14
s25,4,உம்,உம்,T,AuxZ,3
s25,5,",",",",Z,AuxX,14
s25,6,ஜெர்மனி,ஜெர்மனி,N,Sb,8
s25,7,12வது,12,U,Atr,8
s25,8,இடத்தைய்,இடம்,N,Obj_M,14
s25,9,உம்,உம்,T,AuxZ,8
s25,10,",",",",Z,AuxX,14
s25,11,இங்கிலாந்து,இங்கிலாந்து,N,Sb,13
s25,12,14வது,14,U,Atr,13
s25,13,இடத்தைய்,இடம்,N,Obj_M,14
s25,14,உம்,உம்,T,Coord,15
s25,15,பிடித்த்,பிடு,V,Pred,0
s25,16,உள்ளன,உள்,V,AuxV,15
s25,17,.,.,Z,AuxK,0
s26,1,நியூஸ்வீக்,நியூஸ்வீக்,N,Atr,2
s26,2,இதழ்,இதழ்,N,AAdjn,3
s26,3,சார்பில்,சார்பு,P,AuxP,11
s26,4,முதல்,முதல்,U,Atr,5
s26,5,முறையாக,முறை,A,AAdjn,11
s26,6,நாடுகளைப்,நாடு,N,Atr,7
s26,7,பற்றிய,பற்றிய,P,AuxP,9
s26,8,கருத்துக்,கருத்து,N,Atr,9
s26,9,கேட்பு,கேள்,N,AAdjn,10
s26,10,மூலம்,மூலம்,P,AuxP,11
s26,11,நடத்திய,நடத்து,J,AdjAtr,12
s26,12,சர்வேயில்,சர்வே,N,AAdjn,15
s26,13,இந்த,இந்த,D,AuxA,14
s26,14,முடிவுகள்,முடிவு,N,Sb,15
s26,15,தெரிய,தெரி,V,Pred,0
s26,16,வந்தன,வா,V,AuxV,15
s26,17,.,.,Z,AuxK,0
s27,1,வாசகர்களிடம்,வாசகர்,N,AAdjn,27
s27,2,‘,‘,Z,AuxG,22
s27,3,உலகில்,உலகம்,N,Atr,20
s27,4,ஆரோக்கியம்,ஆரோக்கியம்,N,AComp,5
s27,5,ஆகவ்,ஆகு,T,AComp_M,13
s27,6,உம்,உம்,T,AuxZ,5
s27,7,பாதுகாப்ப்,பாதுகாப்பு,N,AComp,8
s27,8,ஆகவ்,ஆகு,T,AComp_M,13
s27,9,உம்,உம்,T,AuxZ,8
s27,10,நல்ல,நல்ல,J,Atr,11
s27,11,முறையில்,முறை,N,AComp,12
s27,12,வாழவ்,வாழ்,V,AComp_M,13
s27,13,உம்,உம்,T,Coord,15
